Phase,River,Date,Julian Day,ID,Discharge,Temp,pH,Cond,Alk,A254,A375,A412,A420,A440,H2O-2H,H2O-18O,DOC,DOC-13C,DOC-14C,DOC-fm,TDN,NO3,NH4,TDP,PO4,SiO2,Na,K,Mg,Ca,As,Ba,Cl,SO4,Li,Rb,Sr,U,F,UTHg,UMeHg,TSS,POC,POC-13C,POC-14C,POC-fm,PON,PON-15N,Sample depth 1,TSS (1),POC (1),POC-13C (1),PON (1),PON-15N (1),Sample depth 2,TSS (2),POC (2),POC-13C (2),PON (2),PON-15N (2)
PARTNERS,Ob,7/16/03,197,,31200,19.8,7.5,,44.9,,,,,,-112,-14.8,11,-25,24.9,,0.45,49,43,60,,3.9,4.7,0.95,3.5,,1.06,17,3.5,1.3,2.03,0.86,88,0.1,,,,53.8,1.23,-29.7,,,140,6.1,,,,,,,,,,,,
PARTNERS,Ob,4/5/04,96,,3553,-1,7,,130.6,,,,,,-115,-15,5.5,-26.7,-114,,0.96,189,670,15,,19.1,13.3,1.46,9.1,26.9,0.31,34,12.3,5,4.43,1.11,219,0.7,,,,60.1,1.12,-38,-264,0.741,120,-3.9,,,,,,,,,,,,
PARTNERS,Ob,6/15/04,167,,34500,10.5,7.7,,32.9,,,,,,-126,-16.7,8.7,-27.9,52,,0.39,147,9,30,,4.8,4.4,1.08,3,11.4,0.55,13,3.6,2.4,1.7,0.74,67,0.1,,,,97.4,2.18,-29.8,-214.4,0.791,294,5.9,,,,,,,,,,,,
PARTNERS,Ob,6/17/04,169,,34500,12.6,7.7,,34.4,,,,,,-124,-16.2,8.7,-28,71,,0.4,174,17,30,,4.9,4.8,1.26,3,11.7,0.6,12,4,2.6,1.6,0.69,67,0.09,,,,61.5,2.28,-31.4,-205.8,0.799,283,6.3,,,,,,,,,,,,
PARTNERS,Ob,7/28/04,210,,26000,20,7.5,,38.4,,,,,,-109,-14.3,12,-26.8,43,,0.45,11,14,52,,4.5,5.4,1.33,3.7,15.7,1,18,4.5,2.2,2.15,0.87,95,0.11,,,,58,1.65,-31.1,-236.1,0.769,326,5.2,,,,,,,,,,,,
PARTNERS,Ob,8/11/04,224,,15900,15.6,7.5,,50.1,,,,,,-107,-13.4,10.1,-26,22,,0.32,0,0,49,,4.8,6.2,1.14,4.2,17.2,0.94,18,5.2,2.2,2.42,0.7,105,0.19,,,,41,1.32,-32.7,-150,0.856,279,4.9,,,,,,,,,,,,
PARTNERS,Ob,10/11/04,285,,8920,5.3,7.7,,60.8,,,,,,-104,-13.9,8.6,-26,-35,,0.35,122,8,27,,8.4,7.6,0.91,5.3,20.7,0.73,18,6.7,2.6,2.65,0.5,129,0.47,,,,41.4,0.86,-33.6,-206.9,0.798,189,5,,,,,,,,,,,,
PARTNERS,Ob,10/14/04,288,,9600,3.3,7.6,,66.6,,,,,,-105,-13.9,8.4,-27.7,-29,,0.37,130,20,37,,8.4,7.7,0.92,5.3,20.6,0.71,20,6.8,2.6,2.69,0.52,130,0.45,,,,24.5,0.87,-33.7,-206.7,0.798,172,5.2,,,,,,,,,,,,
PARTNERS,Ob,3/15/05,74,,4193,3.6,6.6,,103,,,,,,-113,-14.8,7.4,-29.1,-27,,0.72,234,497,27,,17.6,12.1,1.27,8.4,26.7,0.58,34,11.2,4.6,3.8,0.99,173,0.55,,,,12.7,0.74,-35.4,-270.7,0.734,70,-1.1,,,,,,,,,,,,
PARTNERS,Ob,6/4/05,155,,34800,10,7,,36.5,,,,,,-126,-16.6,9.8,-27.9,43,,0.45,165,11,31,,5.2,4.8,1.19,3.1,12.5,0.58,14,4,2.5,1.67,0.74,69,0.09,,,,59.5,1.65,-29.9,-267.9,0.737,258,6.5,,,,,,,,,,,,
