bas_id,riv_id,country,cont,code,time_m,time_d,time_y,lat,lon,type_spm,fra_spm,conc_spm,conc_poc,perc_poc,perc_poc_1sd,d13C_poc,d13C_1sd,D14C_poc,D14C_1sd,age_14C,F14C,perc_tn,cn_ratio,alsi_ratio,ref
Athi-Galana-Sabaki,Athi-Galana-Sabaki ,Kenya,Africa,S4 Athi,8,30,2011,-1.61,37.79,SS,Bulk,24.6,3.3,13.28,,-25,,-28.9,< 7,175.9,0.978,,,,Marwick et al. (2015)
Athi-Galana-Sabaki,Athi-Galana-Sabaki ,Kenya,Africa,S12 Tsavo,9,4,2011,-2.99,38.46,SS,Bulk,102.3,3,2.9,,-21.8,,-52.8,< 7 ,376.5,0.954,,,,Marwick et al. (2015)
Athi-Galana-Sabaki,Athi-Galana-Sabaki ,Kenya,Africa,S13 Athi,9,5,2011,-2.94,38.49,SS,Bulk,67.3,20.3,30.16,,-17,,24.3,< 7 ,modern,1.032,,,,Marwick et al. (2015)
Athi-Galana-Sabaki,Athi-Galana-Sabaki ,Kenya,Africa,S19 Galana,9,8,2011,-3.14,39.85,SS,Bulk,168.5,27.5,16.33,,-21.4,,-94.2,< 7 ,735,0.913,,,,Marwick et al. (2015)
Athi-Galana-Sabaki,Athi-Galana-Sabaki ,Kenya,Africa,S1 Athi,11,1,2011,-1.08,37.25,SS,Bulk,92,8.5,9.22,,-22.9,,-90.4,< 7 ,701.6,0.916,,,,Marwick et al. (2015)
Athi-Galana-Sabaki,Athi-Galana-Sabaki ,Kenya,Africa,S13 Athi,11,17,2011,-2.94,38.49,SS,Bulk,3040,63.3,2.08,,-20.1,,-27.2,< 7 ,161.9,0.98,,,,Marwick et al. (2015)
Athi-Galana-Sabaki,Athi-Galana-Sabaki ,Kenya,Africa,S19 Galana,11,10,2011,-3.14,39.85,SS,Bulk,2826.9,78.3,2.77,,-19.2,,-58,< 7 ,420.7,0.949,,,,Marwick et al. (2015)
Athi-Galana-Sabaki,Athi-Galana-Sabaki ,Kenya,Africa,S1 Athi,4,25,2012,-1.61,37.79,SS,Bulk,4275.6,125.8,2.94,,-19.2,,4,< 7 ,modern,1.012,,,,Marwick et al. (2015)
Athi-Galana-Sabaki,Athi-Galana-Sabaki ,Kenya,Africa,S4 Athi,4,27,2012,-2.99,38.46,SS,Bulk,2452.5,62.3,2.54,,-19.3,,-51.2,< 7 ,361.9,0.956,,,,Marwick et al. (2015)
Athi-Galana-Sabaki,Athi-Galana-Sabaki ,Kenya,Africa,S12 Tsavo,4,28,2012,-2.99,38.46,SS,Bulk,4789.7,59.8,1.25,,-18.2,,-176.8,< 7 ,1502.5,0.829,,,,Marwick et al. (2015)
Athi-Galana-Sabaki,Athi-Galana-Sabaki ,Kenya,Africa,S13 Athi,4,19,2012,-2.94,38.49,SS,Bulk,3624,56.1,1.55,,-20.3,,-4.5,< 7 ,modern,1.003,,,,Marwick et al. (2015)
Betsiboka,Betsiboka ,Madagascar,Africa,B30 Betsiboka,8,14,2010,-16.94,46.95,SS,Bulk,81,0.9,1.15,,-21.8,,-409.7,< 7 ,4176.1,0.595,,,,Marwick et al. (2015)
Betsiboka,Betsiboka ,Madagascar,Africa,B31 Betsiboka,8,17,2010,-16.23,46.55,SS,Bulk,51.6,2.2,4.35,,-23.7,,-63.5,< 7 ,468.3,0.943,,,,Marwick et al. (2015)
Betsiboka,Betsiboka ,Madagascar,Africa,B41  Betsiboka,8,27,2010,-17.69,47.4,SS,Bulk,127.6,1.2,0.91,,-23.6,,-25.2,< 7 ,146.9,0.982,,,,Marwick et al. (2015)
Betsiboka,Betsiboka ,Madagascar,Africa,B36 Mamokomita,8,21,2010,-17.68,46.99,SS,Bulk,9.5,0.4,4.61,,-22.8,,-16.4,< 7 ,74.2,0.991,,,,Marwick et al. (2015)
Betsiboka,Betsiboka ,Madagascar,Africa,B39 Mahajamba,1,31,2012,-17.65,47.69,SS,Bulk,190.4,2.6,1.34,,-22.3,,-96.5,< 7 ,754.9,0.91,,,,Marwick et al. (2015)
Betsiboka,Betsiboka ,Madagascar,Africa,B42 Mavoloa,2,1,2012,-17.69,47.3,SS,Bulk,20.6,0.9,4.28,,-26.3,,-0.8,< 7 ,modern,1.007,,,,Marwick et al. (2015)
Betsiboka,Betsiboka ,Madagascar,Africa,B26 Ikopa,2,22,2012,-17.02,46.76,SS,Bulk,950,13,1.36,,-19.7,,-20,< 7 ,101.9,0.987,,,,Marwick et al. (2015)
Betsiboka,Betsiboka ,Madagascar,Africa,B12 Manjaka,2,3,2012,-18.7,47.49,SS,Bulk,24.4,1.1,4.3,,-22.4,,-62.4,< 7 ,457,0.945,,,,Marwick et al. (2015)
Betsiboka,Betsiboka ,Madagascar,Africa,B15 Ikopa,2,15,2012,-18.68,47.04,SS,Bulk,546,9.8,1.8,,-18.1,,-115.1,< 7 ,921.7,0.892,,,,Marwick et al. (2015)
Betsiboka,Betsiboka ,Madagascar,Africa,B17 Androba,2,17,2012,-18.2,47.04,SS,Bulk,191.5,3.3,1.74,,-20.6,,-42.4,< 7 ,287.9,0.965,,,,Marwick et al. (2015)
Betsiboka,Betsiboka ,Madagascar,Africa,B20 Maintsotady,2,16,2012,-18.3,47.32,SS,Bulk,137.8,2.7,1.97,,-22.4,,-77.4,< 7 ,587.3,0.93,,,,Marwick et al. (2015)
Betsiboka,Betsiboka ,Madagascar,Africa,B30 Betsiboka,2,23,2012,-16.23,46.55,SS,Bulk,3589.5,27.4,0.76,,-20.4,,11.8,< 7 ,modern,1.019,,,,Marwick et al. (2015)
Betsiboka,Betsiboka ,Madagascar,Africa,B32 Betsiboka,2,25,2012,-16.46,47.17,SS,Bulk,1107.3,11.2,1.01,,-20,,-30.8,< 7 ,191,0.977,,,,Marwick et al. (2015)
Betsiboka,Betsiboka ,Madagascar,Africa,B36 Mamokomita,2,20,2012,-17.68,46.99,SS,Bulk,104.8,2,1.87,,-20.6,,-62,< 7 ,453.6,0.945,,,,Marwick et al. (2015)
Betsiboka,Betsiboka ,Madagascar,Africa,B35 Kamolampy,2,21,2012,-17.51,46.98,SS,Bulk,524.4,8.1,1.54,,-19.7,,-16.1,< 7 ,69.8,0.991,,,,Marwick et al. (2015)
Betsiboka,Betsiboka ,Madagascar,Africa,B37 Manankazo,2,20,2012,-17.98,47.03,SS,Bulk,69.7,1.6,2.32,,-20.8,,-88.9,< 7 ,687.8,0.918,,,,Marwick et al. (2015)
Betsiboka,Betsiboka ,Madagascar,Africa,B45 Mahajamba,2,24,2012,-16.25,47.92,SS,Bulk,2295.3,16.9,0.74,,-20,,-91.8,< 7 ,712.9,0.915,,,,Marwick et al. (2015)
Congo,Congo ,DR Congo,Africa,28 Aruwimi,5,23,2010,1.23,23.62,SS,Bulk,60.7,3.7,6.14,,-27.7,,47.2,< 7 ,modern,1.055,,,,Marwick et al. (2015)
Congo,Congo ,DR Congo,Africa,48 Luge,6,4,2010,0.64,24.18,SS,Bulk,7.2,1.9,26.41,,-29.6,,91.6,< 7 ,modern,1.1,,,,Marwick et al. (2015)
Congo,Congo ,DR Congo,Africa,11 Congo,5,9,2010,1.1,23.87,SS,Bulk,32.4,2.9,9.04,,-28.1,,68.8,< 7 ,modern,1.077,,,,Marwick et al. (2015)
Congo,Congo ,DR Congo,Africa,37 Lomani,5,29,2010,0.63,24.26,SS,Bulk,16.7,1.9,11.38,,-28.7,,68.7,< 7 ,modern,1.077,,,,Marwick et al. (2015)
Congo,Congo ,DR Congo,Africa,18 Congo,5,13,2010,2.09,22.65,SS,Bulk,33.2,3.1,9.46,,-28.4,,92.8,< 7 ,modern,1.101,,,,Marwick et al. (2015)
Congo,Congo ,DR Congo,Africa,53 Congo,6,6,2010,0.51,25.19,SS,Bulk,33.8,2.4,6.95,,-27.2,,47.4,< 7 ,modern,1.055,,,,Marwick et al. (2015)
Congo,Congo ,DR Congo,Africa,Maluku,,,2008,-4.05,15.31,SS,<63μm,15.2,1.1,7.43,0.8,-28.3,< 0.3,-69.7,,580,0.937,0.7,10.6,,Spencer et al. (2012)
Congo,Congo ,DR Congo,Africa,Kinshasa,,,2008,-4.18,15.21,SS,<63μm,16.4,1.2,7.01,0.8,-28.8,< 0.3,-69.2,,576,0.937,0.7,10,,Spencer et al. (2012)
Congo,Congo ,DR Congo,Africa,Ile de Mateba,,,2008,-5.57,12.49,SS,<63μm,15.6,1.4,8.78,0.8,-27.6,< 0.3,-69,,575,0.938,0.9,9.8,,Spencer et al. (2012)
Congo,Congo ,DR Congo,Africa,Kimuabi,,,2008,-6.03,12.31,SS,<63μm,16.8,1.4,8.57,0.8,-28.2,< 0.3,-39,,320,0.968,0.8,10.7,,Spencer et al. (2012)
Congo,Congo ,DR Congo,Africa,Luilu,,,2008,-7.04,23.35,SS,<63μm,12,1.2,10.25,0.8,-27.9,< 0.3,-63.9,,530,0.943,0.8,12.8,,Spencer et al. (2012)
Congo,Congo ,DR Congo,Africa,Maluku,,,2008,-4.05,15.31,SS,>63μm,16.4,0.2,5.7,1.6,-26.9,< 0.1,60.6,,modern,1.068,0.4,14.3,,Spencer et al. (2012)
Congo,Congo ,DR Congo,Africa,Kinshasa,,,2008,-4.18,15.21,SS,>63μm,15.6,0.2,6,1.6,-27.2,< 0.1,42.6,,modern,1.05,0.4,15,,Spencer et al. (2012)
Congo,Congo ,DR Congo,Africa,Kimuabi,,,2008,-6.03,12.31,SS,>63μm,16.8,0.3,11.8,1.6,-26.6,< 0.1,23.9,,modern,1.031,0.7,16.9,,Spencer et al. (2012)
Congo,Congo ,DR Congo,Africa,Brazzaville,,,2011 - 2013,-6.05,12.57,SS,Bulk,,,,,-26.4,,-100.8,,794,0.906,,,,Eglinton et al. (2021)
Congo,Congo ,DR Congo,Africa,Luilu,,,2008,-7.04,23.35,SS,>63μm,12,0.1,6.7,1.6,-28.7,< 0.1,95.7,,modern,1.103,0.3,22.3,,Spencer et al. (2012)
Congo,Congo ,DR Congo,Africa,,11,28,2010,4.35,18.58,SS,Bulk,15.8,0.9,5.71,0.06,-27.6,0,-47.3,8.1,330.9,0.96,0.53,11.6,,Hemingway (2017)
Congo,Congo ,DR Congo,Africa,,12,28,2010,4.35,18.58,SS,Bulk,16.5,1.2,7.28,0.15,-27.6,0,-201.4,6.8,1748.3,0.804,0.64,12.1,,Hemingway (2017)
Congo,Congo ,DR Congo,Africa,,1,28,2011,4.35,18.58,SS,Bulk,20.7,1.3,6.27,0.08,-27.5,0.1,-50.7,8.5,358.7,0.956,0.61,10.9,,Hemingway (2017)
Congo,Congo ,DR Congo,Africa,,2,28,2011,4.35,18.58,SS,Bulk,42.1,2.6,6.18,0.02,-25.4,0,-45.9,8.5,318.2,0.961,0.68,9.7,,Hemingway (2017)
Congo,Congo ,DR Congo,Africa,,3,28,2011,4.35,18.58,SS,Bulk,14.7,1,6.82,0,-26.6,0,-208.8,7.7,1822.1,0.797,0.81,9.1,,Hemingway (2017)
Congo,Congo ,DR Congo,Africa,,4,28,2011,4.35,18.58,SS,Bulk,20.6,1.6,7.75,0.04,-26.6,0,-309.3,7.1,2913.3,0.696,0.81,10.3,,Hemingway (2017)
Congo,Congo ,DR Congo,Africa,,5,28,2011,4.35,18.58,SS,Bulk,42.7,2.2,5.15,0.02,-26.2,0,-93.3,8.6,727.5,0.913,0.63,8.7,,Hemingway (2017)
